編號	中文	英文	縮寫
B0072	進場管制人員	Access Management Staff	AMS
B0073	進場管制小組	Access Management Team	AMT
B0074	授權碼	Authorization Code	AC
B0075	門禁管制	Access Control
B0076	離線圖形時刻表	Off-Line Graphical Timetable	OGT
B0077	救援路徑	Call on Route
B0078	列車識別	Train Identification
B0079	運輸車輛編號	Rolling Stock Number
B0080	趟次	Trip Number
B0081	列車代碼	Train Code
B0082	車廂編號	Vehicle Number
B0083	車組編號	Train Set Number
B0084	軌道電路	Track Circuit	TC
B0085	道旁號誌設備	Wayside Signaling Equipment	WSE
B0086	站間閉塞運轉	Stations Block Operation
B0087	無閉塞運轉	Creeping Movement
B0088	前端牽引	Hauling
B0089	後端推進	Pushing
B0090	區域防護措施	Protection Method
B0091	目標速度	Target Speed
C0001	橫渡線	Crossover
C0002	道岔	Turnout
C0003	岔心	Frog
C0004	護軌	Guard Rail
C0005	導軌	Lead Rail
C0006	基本軌	Stock Rail
C0007	尖軌	Switch Rail
C0008	翼軌	Wing Rail
C0009	軌尖	Switch Point
C0010	正位	Normal
C0011	道岔號數	Turnout Number
C0012	反位	Reverse
C0013	轉換軌	Transfer Track
C0014	袋型軌	Pocket Track
C0015	尾軌	Tail Track
C0016	中央控制設備室	Central Control Equipment Room	CCER
C0017	通訊號誌設備室	Communication Signaling Equipment Room	CSER
C0018	機房	Equipment Room
C0019	鋼軌	Rail
C0020	第三軌	Third Rail
C0021	島式月台	Island Platform
C0022	側式月台	Side Platform
C0023	月台下待避空間	Under Platform Clearance
C0024	隔音牆	Acoustical Barrier
C0025	檢修門	Access Door
C0026	防空避難設施	Air Raid Shelter
C0027	建築界限	Structure Gauge
C0028	共構	Integrated Structure
C0029	平交道	Level Crossing
C0030	轉乘站	Transfer Station
C0031	中央走道	Central Walkway
C0032	永久速限	Permanent Speed Restriction	PSR
C0033	道碴	Ballast
C0034	駐車軌	Stabling Track
C0035	止衝檔	Buffer Stop
C0036	警衝標	Fouling Point
C0037	里程標	Distance Post
C0038	魚尾鈑	Fish Plate/Splice Plate
C0039	阻輪器	Wheel Stop
C0040	熱劑焊接	Thermit Welding
C0041	鋼軌伸縮接頭	Rail Expension Joint
C0042	鋼軌扣件	Fastening
C0043	錨座	Anchorage
D0001	緊急斷電箱	Emergency Trip Station	ETS
D0002	緊急斷電按鈕	Emergency Trip Button	ETB
D0003	路線控制器	Line Controller	LC
D0004	區域控制器	Zone Controller	ZC
D0005	機電系統	Electrical and Mechanical Systems	E&M
D0006	號誌	Signal
D0007	趨近信標	Approach Beacons	AB
D0008	移動列車初始化信標	Moving Train Initialisation Beacons	MTIB
D0009	重新定位信標	Relocalization Beacon	RB
D0010	位置記憶信標	Location Memorisation Beacons	LMB
D0011	列車停靠前定位	Location Reduction Before Stop beacon	Loc Red Bef Stop
D0012	月台門系統	Platform Screen Door System	PSD
D0013	自動滑門	Automatic Sliding Door	ASD
D0014	月台端牆門	Platform End Doors	PED
D0015	緊急逃生門	Emergency Escape Doors	EED
D0016	月台門控制盤	PSD Manual Control Panel	MCP
D0017	月台門狀態指示燈	PSD Status Indicator Light	PSIL
D0018	月台門監視盤	PSD Monitor Panel	PMP
D0019	月台門中央控制盤	PSD Central Control Cabinet	PSC
D0020	門扇控制單元	Door Control Unit	DCU
D0021	開門指示燈	Door Open Indicator	DOI
D0022	緊急門開門指示燈	EED Open Indicator	EOI
D0023	月台端牆門開門指示燈	PED Open Indicator
D0024	公共廣播系統	Public Address System	PA
D0025	通訊系統	Communication System	COM
D0026	通訊系統多功能操作台	Communication Multi-Function Terminal	CMFT
D0027	視覺控制面板	Visual Control Panel	VCP
D0028	轉轍器	Point Machine
D0029	轉轍器就地控制	Local Control of Point Machine
D0030	轉轍器就地控制盤	Point Machine Local Control Panel	PMLCP
D0031	道旁轉轍器控制箱	Wayside Point machine Control Box	WPCB
D0032	轉轍器方位指示燈	Direction Indicator
D0033	次要列車偵測設備	Secondary Train Detection Equipment	STDE
D0034	次要偵測裝置	Secondary Detection Device	SDD
D0035	監控及資料擷取系統	Supervisory Control And Data Acquisition	SCADA
D0036	第三軌短路夾	Short Circuit Device	SCD
D0037	第三軌護蓋	Cover Board
D0038	導電軌警示標誌	Warning Sign
D0039	閉路電視	Closed Circuit Television	CCTV
D0040	TETRA手持無線電	TETRA Radio Handset
D0041	詢問處廣播控制盤	PAO Public Address Control Panel
D0042	時鐘系統	Clock System
D0043	直線電話	Direct Line Telephones	DLT
D0044	骨幹傳輸網路	Backbone Transmission Network	BTN
D0045	無線存取點	Access Point
D0046	鋼軌焊接	Rail Welding
E0001	電聯車	Electric Multiple Unit	EMU
E0002	電力煞車	Electro Dynamic Brake
E0003	列車無線電系統	Train Radio System
E0004	轉向架	Bogie
E0005	集電靴	Current Collecting Shoe
E0006	緊急煞車重置開關	Emergency Brake Reset Push Button
E0007	車門旁通開關	Door Bypass Switch
E0008	車門鎖定裝置	Lock Out Device
E0009	緊急按鈕	Emergency Switch
E0010	打滑	Slide
E0011	空轉	Slip
E0012	滑行	Coasting
E0013	車載控制器	Carbone Controller	CC
E0014	列車駐留	Train Hold
E0015	自動駕駛模式	Automatic Mode	AM
E0016	手動控制監視模式	Manual Controlled Supervision	MCS
E0017	限制手動前進	Restrictive Manual Forward	RMF
E0018	限制手動後退	Restrictive Manual Reverse	RMR
E0019	OCS旁路	OCS Bypass
E0020	聯結模式	Coupling Mode
E0021	休眠模式	Sleep Mode
E0022	深度休眠模式	Deep Sleep Mode
E0023	列車喚醒單元	Train Wake-up Unit	TWU
E0024	緊急煞車測試	Emergency Brake Test
E0025	旅客對講機	Passenger Intercom Unit	PICU
E0026	未識別自動保護	Non-Identified Automatic Protection	NIAP
E0027	無通訊自動保護	Non-Talkative Automatic Protection	NTAP
E0028	無確認自動保護	Non-Confirmed Automatic Protection	NCAP
E0029	車內車門釋放把手	Interior Door Release Handle	IDRH
E0030	車外車門釋放把手	External Door Release Handle	EDRH
E0031	偵煙器	Smoke detection
E0032	列車自動調節	Automatic Train Regulation	ATR
E0033	目標速度	Target Speed
E0034	ATC天線	ATC Antenna
E0035	聯結	Couple
E0036	解聯	Uncouple
E0037	緊急煞車	Emergency Brake	EB
E0038	旅客資訊顯示器	Passenger Information Display	PID
E0039	營運煞車	Service Brake	SB
E0040	全營運煞車	Full Service Brake	FSB
E0041	變壓變頻換流器	Variable Voltage Variable Frequency	VVVF
E0042	靜態換流器	Static Inverter	SIV
E0043	整合電氣繼電器閥	Integrated Electric Relay Valve	IERV
E0044	障礙物偵測器	Obstacle Detection Sensor
E0045	駕駛失能裝置	Dead Man Safety Device
E0046	主控制器把手	Master Controller Handle	MCH
E0047	車門致能	Train Door Enable Area
E0048	牽引馬達	Traction Motor
E0049	主懸吊	Primary Suspension
E0050	次懸吊	Secondary Suspension
E0051	主儲氣筒	Main Reservoir
E0052	自動聯結器	Automatic Coupler
E0053	半永久聯結器	Semi-permanent Coupler
E0054	動態包絡線	Dynamic Envelope
E0055	緊急照明	Emergency Lighting
E0056	服務對講機	Service Intercom
E0057	列車通訊控制單元	Train Communication Control Unit	TCCU
E0058	空壓系統	Air Compressor System
E0059	空調系統	Air Conditioning System
E0060	車間走道	Gangway
E0061	主控鑰匙	Master Control Key
E0062	牽引電力選擇開關	Traction Supply Selector Switch	TSSS
E0063	輔助電力系統	Auxiliary Power Supply System	APS
E0064	電池充電器	Battery Changer	BCG
E0065	駕駛動力馬達車一	Driver Motor 1	DM1
E0066	駕駛動力馬達車二	Driver Motor 2	DM2
E0067	網路型數位錄影機	Network Digital Video Recorder	NVR
E0068	廣播控制單元	Public Address Control Unit
E0069	安全偵測電路斷路器	Safety Detection Circuit Breaker	SDCB
E0070	供氣儲氣筒	Supply Reservoir	SR
E0071	車輪打滑保護	Wheel Slide Protection Control	WSP
E0072	手動駕駛台	Driver Desk
F0001	自動收費系統	Automatic Fare Collection System	AFC
F0002	自動閘門	Automatic Gate	AG
F0003	加值售票機	Add Value and Ticket Issuing Machine	AVTIM
F0004	站務員售票機	Passenger Agent Machine	PAM
F0005	查詢機	Enquiry Machine	EQM
F0006	錢幣點數裝袋設備	Coin Counting and Bagging Equipment	CCBE
F0007	可攜式資料存取處理機	Personal Portable Unit	PPU
F0008	車站處理機系統	Station Processor System	SPS
F0009	票證處理機	Ticket Processor Machine	TPM
F0010	中央資料處理機系統	Central Database Processing System	CDPS
F0011	工作站	Work Station	WS
F0012	工業電腦	Industrial PC	IPC
F0013	電子票證	IC Card
F0014	逾時費用	Overtime Fee
F0015	無票乘車	Without Ticket
F0016	失效車票	Invalid Ticket
F0017	問題車票	Abnormal Ticket
F0018	人為毀損	Man-caused Damage
F0019	旅遊卡	Travel Pass
F0020	單程票	Single Journey Ticket	SJT
F0021	團體票	Group Ticket
F0022	黑名單	Black List	BL
F0023	灰名單	Gray List	GL
F0024	服務模式	Service Mode
F0025	緊急模式	Emergency Mode
F0026	時間模式之強制性操作	Time/Mode Override Operation	TMO
G0001	車站	Station
G0002	站長室	Station Master Room
G0003	段辦公室	Station Group Office
G0004	點矩陣顯示器	Dot Matrix Display	DMD
G0005	詢問處	Passenger Agent Office	PAO
G0006	清潔人員室	Cleaner Room
G0007	駐警室	Police Room
G0008	現金室	Cash Room
G0009	簡易詢問處	Simple Passenger Agent Office	SPAO
G0010	遺失物中心	Lost and Found
G0011	公務門	Official Door
G0012	販賣店	Shop
G0013	安心候車區	Safe Waiting Zone
G0014	親子廁所	Parental Care & H/C Toilet
G0015	地面層	Ground Level
G0016	穿堂層	Concourse Level
G0017	轉換層	Transfer Level
G0018	月台層	Platform Level
G0019	出入口	Entrance/Exit
G0020	維修站	Call Point
G0021	付費區	Paid Area
G0022	非付費區	Unpaid Area
G0023	列車進站警示燈	Train Arrival Warning Light
G0024	防洪擋板	Flood Board
G0025	萬能鑰匙	Master Key
G0026	自動體外心臟電擊去顫器	Automated External Defibrillator	AED
G0027	電扶梯	Escalator
G0028	電梯	Elevator
G0029	到站離站語音	Arrival/Departure Tone
G0030	人潮管制	Crowd Control
G0031	緊急逃生門	Emergency Exit
G0032	閘門緊急釋放按鈕	Gate Free
G0033	旅客導遊資訊系統	Tour Guide Information System	TGIS
G0034	對講機	Intercom
G0035	無線對講機	Walkie Talkie
G0036	偵煙器	Smoke Detection
G0037	緊急求救按鈕	Emergency Button
H0001	機廠	Depot
H0002	機廠維修設備	Depot Equipment	DEQ
H0003	滑動式供電系統	Stinger System
H0004	供電插頭	Stinger Plug
H0005	洗車廠	Washing Plant
H0006	自動洗車機	Automatic Train Washing System
H0007	駐車區	Stabling Area
H0008	測試軌	Test Track
H0009	主維修廠	Main Workshop
H0010	軌道維修工廠	Track and Civil Workshop
H0011	工程列車	Work Train
H0012	路軌兩用車	Rail-Road Vehicle
H0013	救援車	Train Rescue Vehicle
H0014	吸泥車	Vacuum Vehicle
H0015	軌道清洗車	Track Cleaning Vehicle
H0016	軌道檢查車	Track Inspection Vehicle
H0017	軌道研磨車	Rail Grinding Vehicle
H0018	維修平台	Motor Car With Crane
I0001	主變電站	Bulk Supply Substation	BSS
I0002	牽引動力變電站	Propulsion Power Substation	PPSS
I0003	設備變電站	Facility Power Substation	FPSS
